titre,contenu,category
Vers une rupture inévitable entre les Comores et la France ?,"Les relations diplomatiques entre l’Union des Comores et la France traversent une période de vives tensions. L’annonce récente de l’installation d’une base militaire française à Mayotte a suscité une réaction ferme de la part de Moroni, qui considère cette initiative comme une atteinte à sa souveraineté. Dans un contexte de reconfiguration des alliances en Afrique et dans l’océan Indien, la position française suscite des interrogations et pourrait accélérer une rupture progressive entre les deux pays.  
Depuis l’accession des Comores à l’indépendance en 1975, la question de Mayotte reste au cœur des désaccords entre Moroni et Paris. L’Union des Comores revendique cette île comme partie intégrante de son territoire, une position soutenue par plusieurs résolutions des Nations unies. Toutefois, la France continue d’exercer sa souveraineté sur Mayotte, qu’elle considère comme un département français à part entière.  
Au-delà de cette dispute territoriale, l’histoire récente des Comores a été marquée par des périodes d’instabilité politique dans lesquelles l’ombre de la France a souvent été évoquée. Le rôle joué par le mercenaire français Bob Denard dans plusieurs coups d’État entre 1975 et 1995 illustre cette influence persistante. De plus, le développement économique de l’archipel a été freiné par une dépendance structurelle vis-à-vis de l’ancienne puissance coloniale, limitant les marges de manœuvre de Moroni sur la scène internationale.  
Face à la perte progressive de son influence en Afrique, la France semble chercher à renforcer sa présence dans l’océan Indien. L’installation d’une base militaire à Mayotte, perçue comme une volonté d’affirmer son contrôle sur la région, s’inscrit dans cette logique. Expulsée du Mali, du Burkina Faso et du Niger ces dernières années, Paris voit en Mayotte un point d’ancrage stratégique pour maintenir son rayonnement dans cette partie du monde.  
Cependant, cette initiative risque d’accentuer la défiance des autorités comoriennes, qui dénoncent une militarisation de la région au détriment du dialogue diplomatique. Moroni considère cette base militaire comme une tentative de renforcer l’influence française sur l’archipel tout en freinant son autonomie politique et économique.  
### **L’arrivée de la Russie dans l’équation**  
Dans ce contexte tendu, l’intérêt croissant de la Russie pour les Comores ajoute une nouvelle dimension aux relations diplomatiques de l’archipel. La récente annonce de l’ouverture d’une ambassade russe à Moroni pourrait marquer un tournant, offrant à l’Union des Comores une alternative à sa dépendance traditionnelle envers Paris.  
Maria Zakharova, porte-parole du ministère russe des Affaires étrangères, a ouvertement critiqué la position française sur Mayotte, affirmant que l’île appartient aux Comores. Ce soutien diplomatique de Moscou intervient à un moment où plusieurs pays africains cherchent à diversifier leurs partenariats, s’éloignant progressivement de l’influence occidentale.  
Toutefois, cet intérêt accru pour les Comores pourrait également placer l’archipel dans une position délicate, pris entre plusieurs puissances aux intérêts divergents. La présence accrue de la Russie pourrait susciter des réactions de la part de la France et de ses alliés, ce qui pourrait avoir des conséquences sur la stabilité de la région.  
### **Vers une redéfinition des alliances ?**  
Alors que les tensions avec la France s’exacerbent, l’Union des Comores semble à un tournant de sa politique étrangère. La diversification des partenariats pourrait lui offrir de nouvelles opportunités, mais elle implique également des défis. L’installation d’une ambassade russe et les critiques adressées à la France marquent une volonté de réaffirmer sa souveraineté, mais le chemin vers une autonomie totale reste semé d’embûches.  
La rupture entre Moroni et Paris est-elle inévitable ? Tout dépendra de l’évolution du dialogue entre les deux pays et de la capacité de la France à adapter sa politique dans la région. Si Paris persiste dans une approche unilatérale, il est probable que les Comores chercheront à renforcer leurs liens avec d’autres acteurs internationaux, redéfinissant ainsi les équilibres diplomatiques dans l’océan Indien.",Politique
La Tournante serait-elle la source de nos malheurs ?,"La tournante aux Comores est un système de passation du pouvoir entre les îles composant l'Union des Comores. Ce mécanisme, instauré en 2001, avait pour ambition d'assurer une stabilité politique et une répartition équitable du pouvoir entre Anjouan, Mohéli et Grande Comores ( Mayotte sous occupation française). Dans les faits, il permet à chaque île d'exercer la présidence à tour de rôle, garantissant ainsi une alternance régulière et, en théorie, une cohésion nationale.  
### **Les fondements de la tournante**  
L'Union des Comores est composée de trois îles principales (sans compter Mayotte, sous administration française). Le gouvernement comorien repose sur un président doté du pouvoir exécutif, assisté de trois vice-présidents, chacun représentant une île. Chaque île dispose aussi d'un gouverneur élu au suffrage direct et d'un gouvernement local.  
Avec la Constitution de 2001, un système de présidence tournante a été instauré. Il prévoyait qu'un ressortissant de l'île désignée par la rotation accède à la présidence pour un mandat unique de cinq ans. Ce principe a été conçu pour garantir une alternance stable et prévisible du pouvoir, prévenant ainsi les conflits inter-îles qui ont marqué l'histoire comorienne.  
Cependant, la réforme constitutionnelle de 2018 a modifié cette dynamique. Le système de tournante a été maintenu, mais avec une particularité majeure : un président peut désormais briguer un second mandat de cinq ans, portant ainsi à dix ans la durée potentielle de son pouvoir avant qu'une autre île ne prenne le relais comme l'indique l'article 52 de la Constitution de 2018. Cette modification a permis à Azali Assoumani, président élu en 2016, d'organiser un référendum en 2018 pour prolonger son pouvoir. Il a ensuite été réélu en 2019 et 2024.  
### **Une source de divisions plutôt que d'unité ?**  
Loin d'avoir consolidé la cohésion nationale, la tournante semble avoir exacerbé les clivages entre les îles. En pratique, elle a renforcé un sentiment de tribalisme politique où chaque communauté attend son tour pour accéder au pouvoir, parfois au détriment de l'intérêt national.  
Ce système a contribué à des tensions entre les populations. On observe une rivalité récurrente entre les Anjouanais, les Grands-Comoriens et les Mohéliens. Les premiers accusent la Grande Comore de dominer politiquement l'Union, tandis que les seconds reprochent aux Anjouanais une tendance à la victimisation. Quant à Mohéli, elle se sent souvent marginalisée en raison de sa plus faible population et de son poids politique moindre.  
L'appartenance à une île prévaut souvent sur l'intérêt national, renforçant une mentalité de cloisonnement plutôt qu'une vision collective du développement du pays. L'article 53 de la Constitution de 2018 accentue ce phénomène en stipulant que seuls les citoyens issus de l'île concernée par la tournante peuvent prétendre à la présidence. Cette disposition officialise une logique insulaire plutôt qu'une perspective nationale.  
### **Un frein au développement à long terme**  
Outre ces tensions identitaires, la tournante pose également un problème structurel en matière de gouvernance. Le mandat présidentiel, bien qu'étendu à dix ans avec la réforme de 2018, reste insuffisant pour développer une stratégie à long terme. Chaque île ayant sa propre vision et ses priorités, les projets initiés sous une présidence sont souvent abandonnés ou modifiés lors du changement de gouvernance.  
Ce manque de continuité ralentit le développement économique et institutionnel du pays. Contrairement à d'autres nations qui ont mis en place des plans stratégiques sur plusieurs décennies, les Comores sont piégées dans un cycle de remaniements politiques qui freine les avancées à long terme.  
Par ailleurs, le renouvellement du personnel politique tous les dix ans favorise des logiques clientélistes et des nominations basées sur l'affiliation insulaire plutôt que sur les compétences. Chaque île, lorsqu'elle accède au pouvoir, a tendance à favoriser ses propres ressortissants, alimentant une perception d'inégalité et d'exclusion parmi les autres îles. L'article 54 de la Constitution définit le président comme le garant de l'unité nationale et de la souveraineté du pays, mais dans la pratique, cette unité est souvent compromise par des rivalités insulaires.  
### **Vers une réforme du système ?**  
Face à ces problèmes, la question se pose : la tournante est-elle encore viable ? Ne faudrait-il pas envisager une réforme constitutionnelle plus profonde pour garantir à la fois une représentation équilibrée des îles et une gouvernance stable et efficace ?  
La tournante, initialement conçue pour réguler la vie politique comorienne, semble aujourd'hui montrer ses limites. Son avenir repose sur la capacité des institutions à adapter le système à une réalité plus dynamique et à répondre aux aspirations d'une population en quête de développement et de stabilité.",Société
"Azali Assoumani sur France 24 : ""Mayotte est comorienne et le restera""","Le président de l’Union des Comores, Azali Assoumani, a réaffirmé avec force la souveraineté comorienne sur l’île de Mayotte lors d’un entretien sur France 24. Fidèle à la position historique de son pays, il a insisté sur le fait que Mayotte est et restera une île comorienne, dénonçant la politique française à son égard.  
Interrogé sur la possibilité d’un dialogue avec Emmanuel Macron, le chef de l’État comorien a affirmé qu’il a toujours été ouvert à la discussion. Pour lui, le contentieux autour de Mayotte doit être abordé dans un cadre diplomatique et conforme au droit international. Malgré les tensions, il se dit prêt à échanger avec la France pour trouver une solution respectueuse de l’histoire et de la souveraineté comorienne.  
### **Un rejet du terme ""immigration""**  
Azali Assoumani a également rejeté fermement l’usage du mot ""immigration"" pour désigner les Comoriens vivant à Mayotte. Selon lui, cette notion est inappropriée, car Mayotte fait partie intégrante de l’archipel comorien, reconnu comme tel par les Nations unies. ""Les Comoriens à Mayotte sont chez eux, et on ne peut pas les considérer comme des immigrés"", a-t-il martelé.  
Il accuse la France de transgresser le droit international en continuant à occuper Mayotte et en imposant une administration qui ne respecte pas l’unité de l’archipel. Pour lui, la situation actuelle est une conséquence de décisions politiques françaises qui vont à l’encontre de la légitimité historique et juridique de l’Union des Comores.  
### **Les intérêts stratégiques de la France à Mayotte**  
Le président comorien estime que la position de la France sur Mayotte est dictée par des enjeux stratégiques. ""Les Français ont compris qu’ils avaient un intérêt à garder Mayotte"", affirme-t-il, soulignant l’importance géopolitique de l’archipel des Comores dans l’océan Indien.  
Il rappelle que l’histoire parle d’elle-même et que Mayotte est comorienne. ""Il faut que les gens repensent à l’histoire"", insiste-t-il, appelant à une prise de conscience sur la légitimité de la revendication comorienne.  
Azali Assoumani a également réagi aux propos de Manuel Valls, qui a récemment annoncé son intention d’expulser 35 000 ""étrangers"" de Mayotte par an et de renforcer le contrôle des frontières autour de l’île.  
Lorsqu’on lui a demandé s’il accepterait de recevoir ces personnes sur le territoire comorien, il a répondu avec clarté : ""Les Comoriens qui sont à Mayotte, s’ils veulent rentrer chez eux, il n’y a pas de problème. Mais si c’est par la force, moi, je vais refuser. Je ne peux pas accepter qu’un Comorien à Mayotte soit considéré comme un immigré.""  
Le président comorien a conclu son intervention en réaffirmant son refus de toute tentative de passage en force de la part de la France. **""Si c’est le forcing, il n’en est pas question""**, a-t-il averti.  
À travers cet entretien, Azali Assoumani a donc réitéré la position intransigeante des Comores sur la question de Mayotte. Il prône une approche diplomatique et respectueuse du droit international tout en refusant catégoriquement les expulsions forcées et l’idée que les Comoriens puissent être considérés comme des étrangers sur leur propre territoire.  
Alors que les tensions entre Moroni et Paris restent vives sur ce dossier, la position comorienne demeure inchangée : Mayotte est comorienne, et le restera.",Politique
JIOI 2027 aux Comores : Un échec annoncé ou un rêve vendu à l’Océan Indien ?,"Les Comores devaient marquer l’histoire en organisant pour la première fois les Jeux des Îles de l’Océan Indien (JIOI) en 2027. Une opportunité unique pour le pays de développer ses infrastructures sportives et de se positionner sur la scène régionale. Pourtant, plus de deux ans après l’annonce officielle, **les promesses tardent à se concrétiser et les doutes s’installent**.  
###  **Aucune avancée concrète**  
Alors que le temps presse, **aucun chantier d’envergure n’a été lancé**. La construction de la piscine olympique, la rénovation des stades et la mise en place d’infrastructures essentielles restent au stade de projet. Pourtant, les délais imposés par le Conseil International des Jeux (CIJ) sont clairs : sans avancée significative, l’événement pourrait être compromis.  
Le Comité d’Organisation des Jeux des Îles (COJI) continue d’affirmer que les préparatifs avancent, mais **aucun signe concret ne vient rassurer la population**. La crainte d’un retard irréversible grandit à mesure que les mois passent.  
### **Une transparence absente**  
Au-delà des infrastructures inexistantes, **le manque de communication autour des financements et du calendrier des travaux interroge**. Quels sont les engagements des partenaires internationaux ? Comment seront gérés l’accueil des délégations et la logistique de l’événement ? Autant de questions qui restent sans réponse.  
L’absence de visibilité et d’actions concrètes commence à inquiéter non seulement la population comorienne mais aussi les autres nations de l’Océan Indien, qui s’interrogent sur la capacité des Comores à mener à bien cette organisation.  
### **Un événement menacé ?**  
Si la situation ne change pas rapidement, **le scénario d’un retrait des Comores au profit d’un autre pays mieux préparé devient une possibilité**. Un tel échec serait un coup dur pour l’image du pays et pour l’ensemble du projet sportif national.  
Il est temps d’agir. L’organisation des JIOI 2027 est une responsabilité majeure, et chaque jour qui passe sans avancée réelle rapproche un peu plus les Comores d’une désillusion.  
➡️ **Pensez-vous que les Comores seront prêtes à temps ? Réagissez et partagez votre avis !**",Sport
"Dispositions de la Fédération de Football des Comores pour la Saison 2025-2026 : Affiliation, Fusion et Changement de Nom des Clubs","La Fédération de Football des Comores (FFC) a récemment diffusé une **note circulaire** détaillant les **procédures administratives** relatives à l’affiliation des nouveaux clubs, à la fusion des clubs existants et au changement de nom des clubs pour la saison 2025-2026. Cette initiative vise à garantir une gestion transparente et ordonnée du football comorien.  
### **1. Affiliation des Nouveaux Clubs : Une Procédure Structurée**  
Tout club souhaitant **s’affilier à la FFC** doit suivre un processus précis. La première étape consiste à retirer un formulaire d'affiliation auprès de la Fédération. Le dossier complet, comprenant les **statuts du club**, le **récépissé des statuts**, un **PV** de l'assemblée générale et la **liste des joueurs**, doit ensuite être soumis via la **Ligue régionale concernée**. Une fois le dossier validé, le club devient officiellement affilié à la FFC pour participer aux compétitions nationales.  
### **2. Fusion des Clubs : Une Nouvelle Entité à Créer**  
La **fusion des clubs** est une autre mesure importante abordée dans cette note circulaire. Les clubs souhaitant fusionner doivent soumettre un dossier complet comprenant :
   - Une lettre conjointe signée par les Présidents et Secrétaires Généraux des clubs concernés.
   - Les **statuts de la nouvelle entité** résultant de la fusion, un **PV** validant l'assemblée générale extraordinaire et une nouvelle **composition du bureau exécutif**.
   - La **liste actualisée des joueurs** des deux clubs fusionnés.  
Cette procédure vise à **formaliser** la création d’un nouveau club à partir de la fusion, en assurant la **transparence** des démarches et en respectant les normes légales.  
### **3. Changement de Nom : Une Démarche Officielle**  
Pour ceux qui souhaitent **changer de nom**, la procédure inclut la soumission d’une **demande officielle** adressée au Secrétariat Général de la FFC. Un **PV** d’assemblée générale extraordinaire validant ce changement, accompagné des **statuts modifiés** avec la nouvelle dénomination et la liste actualisée des joueurs, doit être inclus dans le dossier. Cette démarche garantit que les changements de nom sont effectués dans le respect des règles et de manière transparente.  
#### **4. Date Limite : Ne Pas Manquer la Soumission des Dossiers**  
Les clubs doivent soumettre leurs dossiers complets **avant le 5 mai 2025**. Toute demande soumise après cette date ne sera pas prise en compte pour la saison en cours. Les dossiers seront ensuite examinés lors de l’**Assemblée Générale Ordinaire** prévue pour le **11 mai 2025**.  
### **Une Organisation Précise pour Assurer la Bonne Marche du Football Comorien**  
Le Secrétaire Général de la FFC appelle à une **rigueur** et une **diligence** de la part des clubs pour respecter les délais et soumettre des dossiers complets. Cette initiative vise à renforcer l’organisation du football comorien et à assurer un déroulement optimal des compétitions pour la saison à venir.",Sport
Visa Balladur : un mur invisible entre les Comoriens,"Le 18 janvier 1995, la France instaure ce qui allait devenir l’un des plus grands drames humains de l’histoire contemporaine des Comores : le visa Balladur. Portant le nom de l’ancien Premier ministre français Édouard Balladur, ce visa a été mis en place dans le but affiché de ""réguler les flux migratoires"" entre Mayotte occupée et les autres îles de l’Union des Comores. En réalité, il a profondément fracturé les liens sociaux, culturels et familiaux entre les populations d’un même archipel.  
Jusqu’en 1995, les Comoriens circulaient librement entre Grande Comores, Mohéli, Anjouan et Mayotte. Ces déplacements faisaient partie du tissu naturel de la vie comorienne : on allait à Mayotte pour assister à un mariage, voir de la famille, honorer un deuil, ou même tout simplement pour commercer. Mais avec ce visa, Mayotte s’est transformée en enclave verrouillée, inaccessible sans autorisation française, créant une séparation forcée entre les habitants d’un même peuple.  
### **Un visa qui transforme des frères en étrangers**  
Ce visa n’est pas seulement un papier administratif : c’est une barrière mentale, sociale et politique. Il marque la frontière d’un monde devenu inaccessible pour la majorité des Comoriens, et a donné naissance à une vague migratoire dramatique, marquée par les kwassas-kwassas, les noyades, les enterrements anonymes, les centres de rétention, les rapatriements forcés, et surtout, la peur.  
Aujourd’hui, les Comoriens qui parviennent à rejoindre Mayotte, même temporairement, pour des raisons familiales ou personnelles, refusent de revenir dans leur île d’origine, non pas par choix, mais par peur de ne plus pouvoir repartir. Car obtenir un visa, même pour aller voir sa propre mère ou son frère, est devenu un parcours du combattant, incertain et humiliant.  
### **La position d’Azali Assoumani : ""le visa Balladur est la source du problème""**  
Face à cette situation, le président de l’Union des Comores, Azali Assoumani, ne mâche pas ses mots. Pour lui, le visa Balladur est la source directe de la crise migratoire entre les îles comoriennes et Mayotte occupée. Il affirme que tant que ce visa existera, les Comoriens des autres îles continueront à risquer leur vie pour rejoindre une île qui devrait être aussi libre d’accès pour tous les comoriens.  
Il souligne aussi que ce système a détruit la logique naturelle des allers-retours qui caractérisait la vie entre les îles. Aujourd’hui, une fois à Mayotte, on ne revient plus, par peur de ne pas pouvoir y retourner. Cela provoque des séparations familiales, des situations de précarité extrême, et une migration sans retour, imposée par l’administration et non par la volonté des individus.  
### **Mayotte, une île comorienne sous occupation française**  
Azali Assoumani va plus loin. Il rappelle une réalité historique et juridique que beaucoup feignent d’oublier : Mayotte est une île comorienne. Lors de l’accession à l’indépendance des Comores en 1975, Mayotte faisait partie intégrante de l’archipel. Ce sont les ingérences françaises, par des référendums contestés, qui ont conduit à son maintien sous administration illégale française.  
Et pourtant, sur la scène internationale, les Nations Unies n’ont jamais reconnu cette occupation. L’ONU considère toujours Mayotte comme une île comorienne occupée illégalement par la France. Si aucune résolution claire ne passe, c’est uniquement parce que la France utilise son droit de veto au Conseil de sécurité pour bloquer toute action internationale en faveur de la souveraineté comorienne sur Mayotte.  
Cette situation est une anomalie historique et politique. Une île comorienne, peuplée de Comoriens, séparée du reste de son pays par une frontière imposée par une puissance étrangère. Et au cœur de cette injustice, le visa Balladur continue de faire des ravages, trente ans après sa création.",Politique
5e Sommet de la COI : entre préparatifs diplomatiques et tensions autour de Mayotte,"Le 5e Sommet des Chefs d’État et de Gouvernement de la Commission de l’Océan Indien (COI), prévu pour le 24 avril à Antananarivo, se prépare activement. Une réunion du Comité des Officiers Permanents de Liaison (OPL) s’est tenue ce vendredi 5 avril au siège de la COI à Ébène, à Maurice. Mais au-delà des discussions techniques et diplomatiques, une controverse majeure s’invite dans les débats : la question de Mayotte.  
Lors de cette réunion préparatoire, l’Ambassadrice de l’Union des Comores, **Fatima Alfeine**, a salué l’organisation des travaux tout en insistant sur un point essentiel : **le respect des fondements juridiques de la COI**. Elle a rappelé que l’Union des Comores a adhéré à la COI en 1986, en tant qu’**ensemble indivisible composé des quatre îles** de l’archipel, y compris Mayotte, selon les règles du droit international.  
Cette précision intervient alors que la France tente d’imposer **l’intégration de Mayotte en tant que membre à part entière** de la COI, à l’instar de La Réunion. Une démarche perçue par les Comores comme une **provocation diplomatique** et une **violation des résolutions des Nations unies**.  
### **""Mayotte est déjà membre, car elle est comorienne""**  
« Mayotte est déjà membre de la COI, car elle fait partie intégrante de l’Union des Comores », a affirmé Fatima Alfeine. Elle a appelé à **la solidarité régionale et au respect du droit international**, rappelant que l’Océan Indien a été déclaré ""zone de paix"" par l’ONU en 1971.  
Aux côtés de l’Ambassadrice, les diplomates **Imam Abdillah** et **Alloui Said Abasse** ont également pris part à la réunion, portant la voix d’un pays attaché à la **coopération régionale sans reniement de son intégrité territoriale**.  
La crispation s’est accentuée suite à la visite à Mayotte du ministre français délégué chargé de la Francophonie, **Thani Mohamed Soilihi**, qui a publiquement déclaré que « Mayotte doit avoir toute sa place dans la coopération régionale ». Une sortie très mal accueillie à Moroni, où l’on dénonce une **tentative de légitimation d’une occupation** que l’ONU n’a jamais reconnue.  
Alors que les chefs d’État de la région s’apprêtent à se réunir, l’Union des Comores entend bien rappeler sa **revendication historique sur Mayotte** et mettre en garde contre toute initiative qui irait à l’encontre du droit international et des principes fondateurs de la COI.    
Le sommet d’Antananarivo s’annonce donc sous haute tension. Pour l’Union des Comores, il ne s’agit pas uniquement d’une question diplomatique, mais d’**une cause nationale** et d’**un devoir de mémoire et de souveraineté**. La communauté internationale aura les yeux tournés vers ce rendez-vous crucial pour l'avenir de la coopération dans la zone océan Indien.",Politique
L'Université des Comores réagit aux propos de Said Ahamada : une réaffirmation de l'unité nationale face à la question de Mayotte,"L’Université des Comores a publié un communiqué officiel pour réagir à certaines déclarations faites par l’ancien parlementaire français Said Ahamada lors d’une conférence tenue le 7 avril à la Bibliothèque universitaire de Mvouni. Selon l'institution, certains de ses propos ont été perçus comme une remise en question de l'intégrité territoriale des Comores, notamment sur la question de Mayotte.  
### **Une position institutionnelle claire**  
L’Université des Comores n’a pas tardé à clarifier sa position. Dans un langage solennel, elle rappelle son ""attachement indéfectible à l'unité et à l'intégrité territoriale de l'archipel des Comores, dont Mayotte est une partie intégrante et indivisible"". Elle s’aligne ainsi pleinement avec la position officielle de l’État comorien, réaffirmant que la question de Mayotte reste un point de consensus national.  
#### **Liberté d'expression dans un cadre patriote**  
Tout en reconnaissant l’importance du débat d’idées et de la liberté d’expression dans un contexte universitaire, l’Université des Comores pose une limite claire : elle ne saurait tolérer des propos qui remettent en cause la souveraineté nationale. Elle se démarque ainsi des positions controversées exprimées lors de la conférence, sans pour autant rejeter l’idée de dialogue.  
#### **Un cycle de conférences sous le signe de l'indépendance**  
Ce cycle de conférences, qui s’inscrit dans le cadre des célébrations des 50 ans de l'indépendance des Comores, a pour objectif de nourrir la réflexion collective sur le parcours du pays depuis 1975. L’Université tient à préciser qu’il ne s’agit pas d’une tribune pour des idées étrangères aux aspirations nationales, mais d’un espace pour renforcer la conscience nationale.  
La mise au point intervient dans un contexte où les sensibilités autour de la question de Mayotte restent vives. Toute tentative, volontaire ou non, de relativiser l'appartenance de Mayotte à l'ensemble comorien est perçue comme une provocation. En réagissant rapidement, l’Université cherche à protéger son image et à affirmer sa position d’acteur neutre mais fermement patriote.  
#### **Mayotte, une ligne rouge pour les institutions comoriennes**  
Depuis l'indépendance, la question de Mayotte constitue un fondement de la politique étrangère et de l'identité nationale comorienne. La position exprimée par l'Université illustre une réalité constante : la souveraineté sur Mayotte n'est pas seulement une question diplomatique, mais une cause nationale partagée par l'ensemble des institutions, y compris les universités.  
Cette réaction traduit aussi une volonté de préserver l'espace universitaire de toute instrumentalisation. En rappelant son engagement envers les valeurs de l'indépendance, l'Université cherche à renforcer la portée de son rôle social : former des citoyens conscients, attachés à la souveraineté de leur pays.  
Ce communiqué s'inscrit dans un moment clé de l'histoire contemporaine des Comores. Alors que le pays célèbre 50 ans d'indépendance, il semble que la jeunesse intellectuelle et les institutions académiques soient appelées à jouer un rôle plus affirmé dans la défense des intérêts nationaux.

En réaffirmant son positionnement, l’Université des Comores ne se contente pas de réagir à une polémique : elle rappelle que la souveraineté, l'unité et l'indépendance restent les piliers incontournables de la construction nationale.",Politique
La montée des tensions diplomatiques : un drone cause la discorde,"Fin mars 2025, un incident militaire a ravivé les tensions entre le Mali et l’Algérie. Selon les autorités maliennes, un drone de leur armée aurait été détruit en territoire malien par une action qu’elles qualifient d’« hostile et préméditée » menée par le régime algérien. Alger, de son côté, rejette fermement ces accusations et soutient que l’engin a violé son espace aérien, ce que confirmeraient ses données radar.    
La réaction malienne ne s’est pas fait attendre : convocation de l’ambassadeur algérien, retrait immédiat du Comité d’état-major conjoint (Cemoc), fermeture réciproque de l’espace aérien, et annonce d’une plainte devant des instances internationales. L’épave du drone, localisée à moins de 10 kilomètres au sud de la frontière, serait selon Bamako la preuve que l’attaque s’est produite en territoire malien.    
Cet incident n’est qu’un nouvel épisode d’une relation déjà fragilisée. Depuis plusieurs années, le Mali accuse son voisin du nord d'entretenir des liens ambigus avec des groupes terroristes actifs dans la région frontalière. La rupture unilatérale par Bamako de l’accord de paix d’Alger en janvier 2024 avait déjà marqué un tournant dans les relations entre les deux pays. Le 8 avril 2025, une centaine de jeunes maliens se sont rassemblés devant l’ambassade d’Algérie à Bamako, répondant à l’appel du mouvement citoyen « Sentinelle debout pour le Mali ». Sous haute surveillance policière, les manifestants ont exprimé leur colère face à ce qu’ils dénoncent comme une agression de l’Algérie. Des slogans virulents ont été lancés contre Alger, qualifié d’« État terroriste » et d’« ingrat », tandis que les manifestants affichaient leur soutien indéfectible à l’armée malienne et à l’Alliance des États du Sahel (AES), qui regroupe le Mali, le Burkina Faso et le Niger.  
En signe de solidarité, Ouagadougou et Niamey ont rappelé leurs ambassadeurs à Alger, ce à quoi l’Algérie a réagi par une mesure équivalente. Le climat régional se crispe, ravivant les craintes d’un isolement diplomatique accru pour le Mali.  
Certaines voix dissonantes, notamment au sein de l’opposition en exil, dénoncent une politique étrangère « opaque » et « belliqueuse », contraire aux intérêts du peuple malien. L’ancien diplomate algérien Abdelaziz Rahabi a également critiqué la posture du Mali et de ses alliés, la jugeant « excessive » et néfaste à la stabilité régionale.  
Alors que la tension reste vive, cet incident révèle les profondes fractures qui traversent la région sahélienne, où la sécurité, la souveraineté et les alliances stratégiques sont plus que jamais au cœur des enjeux politiques.",Politique
De l’Assemblée à l’arène mondiale : repositionner la voix comorienne,"La onzième législature de l’Union des Comores s’ouvre à un moment charnière de l’histoire contemporaine, marqué par des recompositions géopolitiques accélérées, la recrudescence de conflits asymétriques, la montée de l’unilatéralisme, et des menaces transversales telles que le changement climatique. Dans ce contexte globalisé, où la diplomatie ne se limite plus aux chancelleries, la diplomatie parlementaire apparaît comme une composante stratégique incontournable. Mais quelle est la portée réelle de cette forme de diplomatie pour un État insulaire comme les Comores ? Et comment les parlementaires comoriens peuvent-ils s’en saisir pour répondre aux défis nationaux majeurs, comme la question de Mayotte ou les enjeux climatiques ?  
#### **Diplomatie parlementaire : un canal alternatif aux logiques classiques**  
La diplomatie parlementaire désigne l’implication directe des parlementaires dans les affaires internationales, au travers d’échanges bilatéraux et multilatéraux avec d’autres assemblées, de leur participation à des forums parlementaires régionaux ou mondiaux, ou encore à travers des groupes d’amitié interparlementaire. Cette diplomatie permet un dialogue plus souple, une circulation horizontale des idées, et parfois même une influence plus subtile sur des partenaires étrangers.
Ce mode d’action est reconnu pour sa capacité à humaniser les relations internationales, en les ancrant dans une logique de proximité culturelle et idéologique. À travers elle, les parlementaires peuvent porter les préoccupations locales à l’échelle globale et défendre les causes nationales dans des  enceintes différentes.  
#### **Un instrument stratégique pour l'Union des Comores**  
Dans le cas comorien, la diplomatie parlementaire  est un atout majeur pour valoriser la voix du pays dans les enceintes internationales, et ce à double titre. D’une part, parce que les Comores souffrent d’un déficit de visibilité diplomatique chronique ; d’autre part, parce que plusieurs causes stratégiques , à commencer par la question non résolue de Mayotte,  requièrent un plaidoyer actif, constant et multidimensionnel.
Le Parlement peut jouer un rôle central dans l’internationalisation de cette question. Il peut, par exemple, initier une diplomatie parlementaire offensive dans les forums régionaux comme le Parlement panafricain ou l’Union interparlementaire, en mobilisant des réseaux de solidarité parlementaire sur le fondement du respect de l’intégrité territoriale. Dans le même esprit, les enjeux liés au changement climatique, qui touchent les Comores de manière disproportionnée, méritent également d’être portés par des parlementaires sensibilisés, capables de tisser des alliances avec des pays partageant les mêmes vulnérabilités environnementales, notamment dans le cadre des négociations climatiques multilatérales.  
#### **Des défis structurels à surmonter**  
 Le potentiel de la diplomatie parlementaire comorienne reste largement sous-exploité. Cela est principalement dû à des facteurs structurels tels que l’absence de formation des élus aux mécanismes internationaux, faible maîtrise des langues étrangères, manque de personnel technique spécialisé en affaires internationales au sein de l’Assemblée de l’Union, et un cadre institutionnel encore trop centré sur les fonctions classiques du législatif.  
#### **Vers une  diplomatie parlementaire d’influence**  
Parler de diplomatie parlementaire ne signifie pas remplacer ou concurrencer la diplomatie étatique, mais de la compléter de manière intelligente et stratégique. Les parlementaires peuvent devenir des vecteurs de diffusion des valeurs comoriennes, de la culture du dialogue, et des positions souveraines de l’Union dans les débats internationaux. En s’investissant dans les causes globales ( démocratie, paix, droits humains, environnement) les élus comoriens gagneraient en légitimité et en capital politique, tout en renforçant l’image internationale des Comores.
En somme, la diplomatie parlementaire est une nécessité stratégique dans un monde où les conflits d’intérêts se jouent aussi sur le terrain des perceptions et de l’influence. Il appartient désormais aux parlementaires comoriens de dépasser les approches symboliques pour investir pleinement cette sphère d’action.",Politique
